49240031,Commerzbank Aktiengesellschaft,Osiková 2688/2,Praha - Žižkov,frantisek.sommer@gmail.com,František,Sommer
49240030,Moneta Money Bank,Hradišťská 2454/45,Písek,lukas.vopat@seznam.cz,Lukáš,
49240032,ING Bank,Pod soutratím 1559/5,Praha-Vršovice,vladimir.somek@email.cz,Vladimír,Somek
49240033,BNP Paribas Fortis,náměstí T.G.Masaryka 2,Příbram I,jaroslav.dvoracek@post.cz,Jaroslav,Dvoracek
49240034,Oberbank AG,Londýnské náměstí 886/4,Brno,frantisek.srna@srnaservice.cz,František,Srna
49240035,MUFG Bank,Rozkoš 121,Humpolec,martinovský@post.cz,Karel,Martinovský
49240036,ČSOB,Meziříčská 2868,Rožnov pod Radhoštěm,pklasek@seznam.cz,Petr,Klásek
49240037,GOPAY,Hajnova 766/2,Ostrava,standaglausch@gmail.com,Stanislav,Glausch
49240038,Česká Národní Banka,Hodkovická 449/45,Liberec,vysmek@vysmek.cz,Jan,Vysmek
49240039,Air Bank,Podnikatelská 549,Praha,ladislav.jirik@email.cz,Ladislav,Jirik
49240040,HSBC Continental Europe,Masarykovo nám. 17/12,Nový Jičín,martin.prokes@post.cz,Martin,Prokeš
49240041,Privatbanka,Rohatecká 394/24,Praha,martin.prokes@post.cz,Martin,Prokeš
49240042,Banka CREDITAS,V. Brožíka 427,Dýšina,lubos.hora@horavysoka.cz,Lubomír,Hora
49240032,Komerční banka,nám. 9. května 106,Ondřejov,adam.gano@ganoservice.cz,Adam,Gano
49240043,První lichvářská,Dlužní 52/1,Lichvov,info@investiční.cz,Karel,Smutný
49240032,Komerční banka,nám. 9. května 106,Ondřejov,jan.maly@ganoservice.cz,Jan,Male
